player_id,player,birth_year,hof,num_seasons,first_season,last_season,
1,A.C. Green,1963,No,16,1986,2001,FALSE
2,A.J. Bramlett,1976,No,1,2000,2000,FALSE
3,A.J. English,1967,No,2,1991,1992,FALSE
4,A.J. Green,1999,No,3,2023,2025,FALSE
5,A.J. Guyton,1978,No,3,2001,2003,FALSE
6,A.J. Hammons,1992,No,1,2017,2017,FALSE
7,A.J. Lawson,2000,No,3,2023,2025,FALSE
8,A.J. Price,1986,No,6,2010,2015,FALSE
9,A.J. Wynder,1964,No,1,1991,1991,FALSE
10,A.W. Holt,1946,No,1,1971,1971,FALSE
11,AJ Griffin,2003,No,2,2023,2024,FALSE
12,AJ Johnson,2004,No,1,2025,2025,FALSE
13,Aaron Brooks,1984,No,10,2008,2018,FALSE
14,Aaron Gordon,1995,No,11,2015,2025,FALSE
15,Aaron Gray,1984,No,7,2008,2014,FALSE
16,Aaron Harrison,1994,No,3,2016,2018,FALSE
17,Aaron Henry,1999,No,1,2022,2022,FALSE
18,Aaron Holiday,1996,No,7,2019,2025,FALSE
19,Aaron Jackson,1986,No,1,2018,2018,FALSE
20,Aaron James,1952,No,5,1975,1979,FALSE
21,Aaron McKie,1972,No,13,1995,2007,FALSE
22,Aaron Miles,1983,No,1,2006,2006,FALSE
23,Aaron Nesmith,1999,No,5,2021,2025,FALSE
24,Aaron Swinson,1970,No,1,1995,1995,FALSE
25,Aaron Wiggins,1998,No,4,2022,2025,FALSE
26,Aaron Williams,1971,No,14,1994,2008,FALSE
27,Abdel Nader,1993,No,5,2018,2022,FALSE
28,Abdul Jeelani,1954,No,2,1980,1981,FALSE
29,Acie Earl,1970,No,4,1994,1997,FALSE
30,Acie Law,1984,No,4,2008,2011,FALSE
31,Adam Flagler,1999,No,2,2024,2025,FALSE
32,Adam Harrington,1980,No,1,2003,2003,FALSE
33,Adam Keefe,1970,No,9,1993,2001,FALSE
34,Adam Mokoka,1998,No,2,2020,2021,FALSE
35,Adam Morrison,1984,No,3,2007,2010,FALSE
36,Adama Sanogo,2002,No,2,2024,2025,FALSE
37,Ade Murkey,1997,No,1,2022,2022,FALSE
38,Adem Bona,2003,No,1,2025,2025,FALSE
39,Admiral Schofield,1997,No,4,2020,2024,FALSE
40,Adonal Foyle,1975,No,12,1998,2009,FALSE
41,Adonis Jordan,1970,No,2,1994,1999,FALSE
42,Adonis Thomas,1993,No,1,2014,2014,FALSE
43,Adreian Payne,1991,No,4,2015,2018,FALSE
44,Adrian Branch,1963,No,4,1987,1990,FALSE
45,Adrian Caldwell,1966,No,6,1990,1998,FALSE
46,Adrian Dantley,1955,No,15,1977,1991,Adrian Dantley
47,Adrian Griffin,1974,No,9,2000,2008,FALSE
48,Adrian Smith,1936,No,11,1962,1972,FALSE
49,Ahmad Caver,1996,No,1,2022,2022,FALSE
50,Ajay Mitchell,2002,No,1,2025,2025,FALSE
51,Al Attles,1936,No,11,1961,1971,FALSE
52,Al Beard,1942,No,1,1968,1968,FALSE
53,Al Bianchi,1932,No,10,1957,1966,FALSE
